imdbid,title,id,year,rating
0000003,Pauvre Pierrot,5433,1892,0
0132134,"Execution of Mary, Queen of Scots, The",6200,1895,0
0000014,Tables Turned on the Gardener,5444,1895,0
0000131,Une nuit terrible,5406,1896,0
0000091,"House of the Devil, The",4982,1896,0
0223341,La fee aux choux,5445,1896,0
0000012,"Arrival of a Train, The",6199,1896,0
0000211,"Astronomer&#39;s Dream; or, The Man in the Moon, The",5410,1898,0
0135696,Four Heads Are Better Than One,4978,1898,0
0224240,"Temptation of St. Anthony, The",5411,1898,0
0000246,A Turn of the Century Illusionist,4994,1899,0
0000230,Cinderella,5914,1899,3
0000300,"Enchanted Drawing, The",4271,1900,0
0377995,Grandma Threading Her Needle,5069,1900,0
0000306,Hamlet ( Le Duel d&#39;Hamlet),4346,1900,0
0000313,Let Me Dream Again,5438,1900,0
0227438,"Doctor and the Monkey, The",5446,1900,0
0230746,"Searching Ruins on Broadway, Galveston, for Dead Bodies",5072,1900,0
0257654,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),4345,1900,0
0291476,Sherlock Holmes Baffled,1594,1900,0
0000272,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),4344,1900,0
0135453,"One-Man Band, The",4993,1900,0
0000304,Grandma&#39;s Reading Glass,4343,1900,0
0000359,L&#39;homme a la tete en caoutchouc,4995,1901,0
0258104,Reve et realite,5437,1901,0
0131934,Bluebeard,5500,1901,0
0000417,Le voyage dans la lune,1252,1902,0
0367177,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",5432,1902,0
0229024,Gulliver&#39;s Travels,5431,1902,0
0000413,Mephistopheles&#39; School of Magic,5443,1902,0
0223755,"Monster, The",5064,1903,0
0000439,"Great Train Robbery, The",1319,1903,0
0000455,"Music Lover, The",5063,1903,0
0189498,"Enchanted Well, The",5683,1903,0
0135180,"Infernal Boiling Pot, The",5002,1903,0
0135631,"Untamable Whiskers, The",5601,1904,0
0135179,"Living Playing Cards, The",5404,1904,0
0000499,Le voyage a travers l&#39;impossible,6135,1904,0
0215664,"Cook in Trouble, The",5224,1904,0
0135690,"Scheming Gambler&#39;s Paradise, The",5003,1905,0
0215575,"Black Imp, The",5602,1905,0
0449172,A Funny Shave,6206,1906,0
0000574,"Story of the Kelly Gang, The",1349,1906,1
1260944,"Consequence of Feminism, The",7215,1906,0
0135122,"Hilarious Posters, The",5603,1906,0
0000567,"400 Tricks of the Devil, The",5684,1906,0
0216016,"Mysterious Retort, The",5024,1906,0
0000554,Humorous Phases of Funny Faces,5435,1906,0
0215737,"Eclipse: Courtship of the Sun and Moon, The",5223,1907,0
0215817,Good Glue Sticks,5615,1907,0
1802750,Unusual Cooking,6231,1908,0
0001009,"Princess Nicotine; or, The Smoke Fairy",4409,1909,2
0277596,Le barometre de la fidelite,6211,1909,1
0127948,"Devilish Tenant, The",5635,1909,0
0486978,Mobilier fidele,4983,1910,0
1515725,A Trip to Mars,5685,1910,0
0232821,Tilly the Tomboy Visits the Poor,1464,1910,3
0002101,Cleopatra,2003,1912,2
0002281,"Invaders, The",2005,1912,0
0277865,Max and the Donkey,5357,1912,0
0003512,"Voyage of the Bourrichon Family, The",5364,1913,0
0003424,Suspense,5915,1913,0
0003973,A Florida Enchantment,4457,1914,2
0004972,"Birth of a Nation, The",1258,1915,2
0007507,"Vagabond, The",5368,1916,0
0279914,Lady Windermere&#39;s Fan,2014,1916,3
0006864,Intolerance: Love&#39;s Struggle Throughout the Ages,5944,1916,0
0007361,Snow White,7004,1916,3
0006745,Gretchen the Greenhorn,2008,1916,3
0008519,A Romance of the Redwoods,2015,1917,0
0008489,"Raffles, the Amateur Cracksman",2019,1917,2
0008443,"Poor Little Rich Girl, The",1994,1917,3
0008652,A Tale of Two Cities,1981,1917,3
0008499,Rebecca of Sunnybrook Farm,1993,1917,3
0009652,Stella Maris,2007,1918,3
0010281,Ich mochte kein Mann sein,7108,1918,3
0008844,Are Crooks Dishonest?,5441,1918,0
0009682,Tarzan of the Apes,1996,1918,3
0010879,When the Clouds Roll by,2018,1919,3
0009968,Broken Blossoms or The Yellow Man and the Girl,2588,1919,0
0011588,Pollyanna,1991,1920,3
0011870,Within Our Gates,5948,1920,3
0010323,"Cabinet of Dr. Caligari, The",1306,1920,0
0011979,"Blot, The",4204,1921,3
0012364,K&ouml;rkarlen (The Phantom Carriage),5898,1921,2
0012532,Orphans of the Storm,1263,1921,3
0012349,"Kid, The",3945,1921,0
0013140,Foolish Wives,5958,1922,3
0013086,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",5967,1922,3
0013257,H&auml;xan: Witchcraft Through the Ages,3800,1922,3
0013428,Nathan der Weise,1778,1922,2
0013496,"Phantom, The",1631,1922,2
0013367,"Man from Beyond, The",2001,1922,1
0013442,"Nosferatu, eine Symphonie des Grauens",1307,1922,2
0013427,Nanook of the North,5901,1922,1
0012543,"Paleface, The",5361,1922,0
0013626,La souriante Madame Beudet,5888,1923,3
0014611,Why Worry?,1967,1923,0
0014341,Our Hospitality,5949,1923,0
0014469,"Silent Command, The",1998,1923,2
0014429,Safety Last!,1961,1923,0
0015324,Sherlock Jr.,2011,1924,0
0015175,Die Nibelungen,1337,1924,2
0013845,Help!,6209,1924,0
0015400,"Thief of Bagdad, The",1264,1924,0
1764657,"Great White Silence, The",2413,1924,0
0015163,"Navigator, The",2009,1924,0
0015498,Wild Oranges,1960,1924,0
0014945,Girl Shy,2016,1924,0
0015116,Manhandled,2020,1924,3
0015174,Kriemhild&#39;s Revenge,1338,1924,2
0015624,"Big Parade, The",5962,1925,2
0016220,"Phantom of the Opera, The",1305,1925,2
0015864,"Gold Rush, The",1309,1925,0
0015361,Stachka,5991,1925,0
0015863,Go West,1978,1925,0
0016332,Seven Chances,3077,1925,0
0015648,Battleship Potemkin,1308,1925,0
0016039,"Lost World, The",5514,1925,2
0015841,"Freshman, The",2012,1925,0
0016884,Flesh and the Devil,1260,1926,1
0016895,For Heaven&#39;s Sake,1966,1926,0
0017410,So&#39;s Your Old Man,3217,1926,3
0015532,Die Abenteuer des Prinzen Achmed,5974,1926,1
0017925,"General, The",1310,1926,0
0017449,"Temptress, The",1334,1926,1
0017825,Downhill [When Boys Leave Home],7324,1927,1
0018037,"Jazz Singer, The",5975,1927,1
0018455,Sunrise: A Song of Two Humans,1632,1927,2
0018199,Nevada,1982,1927,0
0018183,My Best Girl,2010,1927,3
0018192,Abel Gance&#39;s Napoleon,1312,1927,2
0018033,It,1227,1927,3
0017136,Metropolis,1267,1927,1
0018528,"Unknown, The",1311,1927,0
0018051,"Kid Brother, The",1964,1927,0
0018578,Wings,3118,1927,2
0018839,"Docks of New York, The",5984,1928,2
0019412,Speedy,1963,1928,0
0019421,"Steamboat Bill, Jr.",1971,1928,0
0019290,"Power of the Press, The",1979,1928,1
0018806,"Crowd, The",5912,1928,1
0018742,"Cameraman, The",1970,1928,0
0018684,Beggars of Life,1977,1928,0
0019258,"Patsy, The",2013,1928,3
0019571,While the City Sleeps,2017,1928,2
0019130,"Man Who Laughs, The",2021,1928,2
0018773,"Circus, The",1968,1928,0
0019304,"Racket, The",1972,1928,0
0018937,A Girl in Every Port,1980,1928,0
0019254,"Passion of Joan of Arc, The",1314,1928,0
0020530,Un chien andalou,1313,1929,0
0019760,Man with a Movie Camera,3897,1929,0
0019702,Blackmail,5979,1929,2
0020572,Welcome Danger,1962,1929,0
0018737,Pandora&#39;s Box (Die B&uuml;chse der Pandora),2324,1929,3
0021015,Juno and the Paycock [The Shame of Mary Boyle],7287,1929,3
0019777,"Cocoanuts, The",1953,1929,2
0020286,Throw of the Dice,6046,1929,0
0020668,"Bat Whispers, The",6782,1930,3
0020629,All Quiet on the Western Front,1316,1930,0
0021156,Morocco,3865,1930,1
0021577,L&#39;Age d&#39;Or,3871,1930,0
0020697,"Blue Angel, The",1315,1930,1
0021165,Murder!,7291,1930,3
0020641,Anna Christie,1326,1930,3
0020670,Be Yourself,4253,1930,2
0021148,Min and Bill,3927,1930,3
0021040,Ladies of Leisure,3713,1930,3
